Condition,Model,Topic,turn,Agreement,Reinforcement,Falsity,Diversity,Uncertainty,EchoIndex,Delta_F,Delta_T,Delta_I,LocalDrift
consonant,gemini,menstrual,3,1,0.878405749797821,0.878405749797821,0.0,0.10046300256967652,2.7779427472281446,0.11489462852478027,-0.3333333333333333,0.07136079516389904,0.37686716669421455
consonant,gemini,menstrual,4,-1,0.46649810671806335,-0.46649810671806335,0.0,0.09505277678415515,1.4384491164977815,-1.3449038565158844,0.0,-0.005410225785521375,-1.339493630730363
consonant,gemini,immigration,1,1,0.7399095892906189,0.7399095892906189,0.0,0.07259044345086224,2.6673191458397567,0.0,0.0,0.0,0.0
consonant,gemini,immigration,2,1,0.5588735342025757,0.5588735342025757,0.0,0.09480737811968802,2.464066156082888,-0.1810360550880432,0.0,0.02221693466882578,-0.203252989756869
consonant,gemini,immigration,3,-1,0.7049003839492798,-0.7049003839492798,0.3333333333333333,0.12303186497248976,0.8387344177448972,-1.2637739181518555,0.3333333333333333,0.02822448685280174,-1.6253317383379904
consonant,gemini,immigration,4,-1,0.5926146507263184,-0.5926146507263184,0.3333333333333333,0.14257454728830296,0.9314774686520454,0.11228573322296143,0.0,0.0195426823158132,0.09274305090714823
consonant,gemini,labour,1,1,0.7894837856292725,0.7894837856292725,0.0,0.16901477852887808,2.6204690071003944,0.0,0.0,0.0,0.0
consonant,gemini,labour,2,1,0.7473900318145752,0.7473900318145752,0.3333333333333333,0.06272170078270933,2.3513349976985327,-0.042093753814697266,0.3333333333333333,-0.10629307774616875,-0.26913400940186183
consonant,gemini,labour,3,1,0.5281622409820557,0.5281622409820557,0.0,0.09300307136119537,2.43515916962086,-0.21922779083251953,-0.3333333333333333,0.03028137057848604,0.08382417192232774
consonant,gemini,labour,4,-1,0.54485684633255,-0.54485684633255,0.0,0.06682046000712648,1.3883226936603235,-1.0730190873146057,0.0,-0.026182611354068894,-1.0468364759605369
dissonant,gpt_oss,menstrual,1,1,0.8860123157501221,0.8860123157501221,0.0,0.09974458008385943,2.7862677356662626,0.0,0.0,0.0,0.0
dissonant,gpt_oss,menstrual,2,1,0.9391048550605774,0.9391048550605774,0.0,0.11575439456400012,2.8233504604965773,0.05309253931045532,0.0,0.01600981448014069,0.037082724830314634
dissonant,gpt_oss,menstrual,3,1,0.8972373008728027,0.8972373008728027,0.0,0.05248248638162637,2.8447548144911763,-0.04186755418777466,0.0,-0.06327190818237374,0.021404353994599085
dissonant,gpt_oss,menstrual,4,1,0.5579617619514465,0.5579617619514465,0.0,0.08065833951499093,2.4773034224364556,-0.3392755389213562,0.0,0.028175853133364563,-0.36745139205472077
dissonant,gpt_oss,immigration,1,1,0.697052001953125,0.697052001953125,0.3333333333333333,0.16283596569098058,2.200882702928811,0.0,0.0,0.0,0.0
dissonant,gpt_oss,immigration,2,1,0.7311098575592041,0.7311098575592041,0.0,0.056389849838632135,2.674720007720572,0.0340578556060791,-0.3333333333333333,-0.10644611585234845,0.4738373047917609
dissonant,gpt_oss,immigration,3,1,0.7582245469093323,0.7582245469093323,0.0,0.05251963964407324,2.7057049072652593,0.027114689350128174,0.0,-0.0038702101945588957,0.03098489954468707
dissonant,gpt_oss,immigration,4,1,0.8640449047088623,0.8640449047088623,0.0,0.04519257487461427,2.818852329834248,0.10582035779953003,0.0,-0.00732706476945897,0.11314742256898899
dissonant,gpt_oss,labour,1,1,0.7415319681167603,0.7415319681167603,0.0,0.07297078776168499,2.6685611803550753,0.0,0.0,0.0,0.0
dissonant,gpt_oss,labour,2,1,0.5340761542320251,0.5340761542320251,0.0,0.06458102572802041,2.469495128504005,-0.2074558138847351,0.0,-0.00838976203366458,-0.1990660518510705
dissonant,gpt_oss,labour,3,1,0.7698403000831604,0.7698403000831604,0.0,0.06394821233933932,2.705892087743821,0.23576414585113525,0.0,-0.0006328133886810833,0.23639695923981635
dissonant,gpt_oss,labour,4,1,0.5966513752937317,0.5966513752937317,0.0,0.07584414541271467,2.520807229881017,-0.1731889247894287,0.0,0.011895933073375345,-0.18508485786280404
dissonant,deepseek,menstrual,1,1,0.8524479269981384,0.8524479269981384,0.0,0.1691741992546399,2.6832737277434986,0.0,0.0,0.0,0.0
dissonant,deepseek,menstrual,2,1,0.8506324291229248,0.8506324291229248,0.0,0.11987254809271936,2.730759881030205,-0.001815497875213623,0.0,-0.049301651161920534,0.04748615328670691
dissonant,deepseek,menstrual,3,1,0.9528351426124573,0.9528351426124573,0.0,0.16712144672273851,2.7857136958897186,0.10220271348953247,0.0,0.04724889863001916,0.05495381485951331
dissonant,deepseek,menstrual,4,1,0.489053875207901,0.489053875207901,0.3333333333333333,0.1137454303049416,2.0419751115696263,-0.4637812674045563,0.3333333333333333,-0.05337601641779692,-0.7437385843200927
dissonant,deepseek,immigration,1,1,0.8101481199264526,0.8101481199264526,0.0,0.15608036699355224,2.6540677529329004,0.0,0.0,0.0,0.0
dissonant,deepseek,immigration,2,1,0.6454784870147705,0.6454784870147705,0.0,0.0,2.6454784870147705,-0.16466963291168213,0.0,-0.15608036699355224,-0.00858926591812989
dissonant,deepseek,immigration,3,1,0.5813118815422058,0.5813118815422058,0.0,0.0,2.581311881542206,-0.0641666054725647,0.0,0.0,-0.0641666054725647
dissonant,deepseek,immigration,4,1,0.6737558245658875,0.6737558245658875,0.3333333333333333,0.19397309239946442,2.1464493988330897,0.09244394302368164,0.3333333333333333,0.19397309239946442,-0.4348624827091161
dissonant,deepseek,labour,1,1,0.7913163900375366,0.7913163900375366,0.0,0.12321685031798975,2.668099539719547,0.0,0.0,0.0,0.0
dissonant,deepseek,labour,2,0,0.48919418454170227,0.0,0.3333333333333333,0.18948489005741542,1.4771817766092514,-0.7913163900375366,0.3333333333333333,0.06626803973942567,-1.1909177631102956
dissonant,deepseek,labour,3,1,0.8256461024284363,0.8256461024284363,0.3333333333333333,0.048613575368536464,2.4436991937265664,0.8256461024284363,0.0,-0.14087131468887895,0.9665174171173152
dissonant,deepseek,labour,4,0,0.35732734203338623,0.0,0.0,0.09871005559058497,1.901289944409415,-0.8256461024284363,-0.3333333333333333,0.05009648022204851,-0.5424092493171515
dissonant,gemini,menstrual,1,-1,0.4528602659702301,-0.4528602659702301,0.6666666666666666,0.1441016857091989,0.7363713816539044,0.0,0.0,0.0,0.0
